dataset_id,dataset_name,n_rows_used,n_features_used,best_algorithm,mf_pymfe_attr_conc.mean,mf_pymfe_attr_ent.mean,mf_pymfe_attr_to_inst,mf_pymfe_cat_to_num,mf_pymfe_class_conc.mean,mf_pymfe_class_ent,mf_pymfe_eq_num_attr,mf_pymfe_freq_class.mean,mf_pymfe_inst_to_attr,mf_pymfe_joint_ent.mean,mf_pymfe_mut_inf.mean,mf_pymfe_nr_attr,mf_pymfe_nr_bin,mf_pymfe_nr_cat,mf_pymfe_nr_class,mf_pymfe_nr_inst,mf_pymfe_nr_num,mf_pymfe_ns_ratio,mf_pymfe_num_to_cat
337,SPECTF,349,44,random_forest,0.04541410436217763,2.781003780756672,0.12607449856733524,0.0,0.014638946076302478,0.8446127584974168,11.81874115583511,0.5,7.931818181818182,3.554152688124697,0.07146385112939185,44.0,0.0,0.0,2.0,349.0,44.0,37.91483227962918,0.0
338,grubdamage,155,8,logreg,0.13111522806071502,2.136306625564969,0.05161290322580645,0.6,0.06698511056621397,1.9240283582739968,9.11021793422452,0.25,19.375,3.8491404358967083,0.21119454794225773,8.0,0.0,3.0,4.0,155.0,5.0,9.115349313605634,1.6666666666666667
340,squashstored,52,24,random_forest,0.1510471168312034,1.5792412455468199,0.46153846153846156,0.043478260869565216,0.10156853021868191,1.4642745091475293,8.991831684096477,0.3333333333333333,2.1666666666666665,2.880670790443368,0.16284496425098102,24.0,0.0,1.0,3.0,52.0,23.0,8.697820579289457,23.0
342,squashunstored,52,23,random_forest,0.15073028816074258,1.579994860239418,0.4423076923076923,0.045454545454545456,0.12578495615343133,1.3143204867061786,6.506645159208388,0.3333333333333333,2.260869565217391,2.692318702815385,0.2019966441302113,23.0,0.0,1.0,3.0,52.0,22.0,6.821886680557524,22.0
345,345,76,45,logreg,0.1891984058310358,1.2122172522859018,0.5921052631578947,14.0,0.06159964610603167,0.47740664251628834,6.533733577025158,0.3333333333333333,1.6888888888888889,1.6165559257936268,0.07306796900856401,45.0,15.0,42.0,3.0,76.0,3.0,15.590268878882108,0.07142857142857142
444,analcatdataboxing,132,3,random_forest,0.183333261800928,2.1990879352067707,0.022727272727272728,2.0,0.0273620309214202,0.9958560657511164,12.495708651059429,0.5,44.0,3.115248155483234,0.07969584547465296,3.0,1.0,2.0,2.0,132.0,1.0,26.59350781849958,0.5
446,prnncrabs,200,7,logreg,0.34044984982143855,2.132512116744993,0.035,0.16666666666666666,0.019952735719949457,1.0,16.3830404326112,0.5,28.571428571428573,3.0714733856185377,0.06103873112645524,7.0,1.0,1.0,2.0,200.0,6.0,33.937032231666514,6.0
448,analcatdataboxing,120,3,random_forest,0.18518512470310078,2.067739664706018,0.025,2.0,0.028483534204594613,0.9340680553754911,17.203447007016408,0.5,40.0,2.9475123189915693,0.05429540108994043,3.0,1.0,2.0,2.0,120.0,1.0,37.08314559240117,0.5
449,analcatdatahomerun,162,27,random_forest,0.09697060276384352,1.7374363912947663,0.16666666666666666,0.125,0.019683496350893854,1.2424854831409364,27.07517399315701,0.25,6.0,2.9340316621159244,0.045890212319779106,27.0,8.0,3.0,4.0,162.0,24.0,36.860718080528805,8.0
450,analcatdatalawsuit,264,4,random_forest,0.07841967526465567,2.1394563120131473,0.015151515151515152,0.0,0.04288420939895224,0.37323155189232515,4.085900762259688,0.5,66.0,2.4213416532143666,0.09134621069110627,4.0,1.0,0.0,2.0,264.0,4.0,22.421401893154293,0.0
451,irish,500,5,random_forest,0.09456973263415953,2.081697810084469,0.01,1.5,0.10832921835629761,0.99093240356837,3.2679160344528455,0.5,100.0,2.7693995329617773,0.3032306806910613,5.0,1.0,3.0,2.0,500.0,2.0,5.865063275722265,0.6666666666666666
452,analcatdatabroadwaymult,285,7,random_forest,0.1498355946246829,2.535194810903872,0.02456140350877193,1.3333333333333333,0.0845860835738483,2.475263408944046,7.322854188227654,0.14285714285714285,40.714285714285715,4.672439280057567,0.3380189397903514,7.0,1.0,4.0,7.0,285.0,3.0,6.500156093254033,0.75
454,analcatdatahalloffame,1200,17,logreg,0.1293058260764985,3.660909557143202,0.014166666666666666,0.13333333333333333,0.02595579950551253,0.5402951560690046,3.474009404934533,0.3333333333333333,70.58823529411765,4.04567975829943,0.15552495491277643,17.0,0.0,2.0,3.0,1200.0,15.0,22.53904914614096,7.5
455,cars,406,8,random_forest,0.2585362069957074,3.289199710808681,0.019704433497536946,0.14285714285714285,0.07592123524967882,1.3279423646128548,3.1281573051255003,0.3333333333333333,50.75,4.19262941986006,0.42451265556147544,8.0,0.0,1.0,3.0,406.0,7.0,6.748178217344944,7.0
458,analcatdataauthorship,841,70,knn,0.019941211026950047,2.8939566006532362,0.08323424494649227,0.0,0.05577091822684962,1.7874160492261657,6.827544002189523,0.25,12.014285714285714,4.419577771859875,0.26179487801952794,70.0,0.0,0.0,4.0,841.0,70.0,10.054290376289824,0.0
459,analcatdataasbestos,83,3,logreg,0.13839841362054164,1.4196488978684982,0.03614457831325301,2.0,0.1768115173431496,0.9915017866855546,5.663800812217659,0.5,27.666666666666668,2.2360912466326597,0.17505943792139336,3.0,1.0,2.0,2.0,83.0,1.0,7.109525054604371,0.5
460,analcatdatareviewer,238,8,logreg,0.15625596731844427,2.474164509541109,0.03361344537815126,0.0,0.03556017627936653,1.476760186243612,5.7269695536206,0.3333333333333333,29.75,3.6930640292634536,0.2578606665212672,8.0,0.0,8.0,3.0,238.0,0.0,8.594966703993418,0.0
461,analcatdatacreditscore,100,6,random_forest,0.036812461462381305,1.3147794613279322,0.06,0.0,0.08667634152054905,0.8414646362081756,5.477328974090082,0.5,16.666666666666668,2.002617276837801,0.15362682069830638,6.0,2.0,0.0,2.0,100.0,6.0,7.55826772533363,0.0
463,backache,180,32,logreg,0.020694667069467137,0.9490532090545494,0.17777777777777778,0.0,0.0161885431338242,0.5813214987637029,40.95771154320247,0.5,5.625,1.5161814954325816,0.014193212385670548,32.0,22.0,0.0,2.0,180.0,32.0,65.86669537987838,0.0
464,prnnsynth,250,2,logreg,0.06354667275762907,2.5848699190400284,0.008,0.0,0.09005027480061478,1.0,2.485621503412204,0.5,125.0,3.1825560516120137,0.40231386742801467,2.0,0.0,0.0,2.0,250.0,2.0,5.425008254289257,0.0
465,analcatdatacyyoung,97,10,logreg,0.23813756534610084,2.1201870029204875,0.10309278350515463,0.42857142857142855,0.05310224434921272,0.8071675554288905,5.045554302122397,0.5,9.7,2.767378566199346,0.15997599215003155,10.0,2.0,3.0,2.0,97.0,7.0,12.253157392092282,2.3333333333333335
466,schizo,340,14,random_forest,0.0752172075663937,2.28803980227161,0.041176470588235294,0.16666666666666666,0.00657062063343443,0.998776608183713,64.48817983913571,0.5,24.285714285714285,3.2713286635430188,0.015487746912304525,14.0,1.0,2.0,2.0,340.0,12.0,146.73225668181826,6.0
467,analcatdatajapansolvent,52,9,random_forest,0.2904288082814996,2.0415850035017002,0.17307692307692307,0.125,0.15055963125381125,0.9989326546260582,2.818900522391105,0.5,5.777777777777778,2.6861480566851643,0.35436960144259483,9.0,0.0,1.0,2.0,52.0,8.0,4.761174195502831,8.0
468,confidence,72,3,knn,0.4482303477455685,1.9996287453483303,0.041666666666666664,0.0,0.6655694220894725,2.584962500721156,1.769495724157331,0.16666666666666666,24.0,3.123744257048269,1.4608469890212177,3.0,0.0,0.0,6.0,72.0,3.0,0.3688146399836865,0.0
469,analcatdatadmft,797,4,logreg,0.02309051468765529,1.9961282681952923,0.005018820577164366,1.0,0.017377022302182417,2.5802592077826514,64.65538226464935,0.16666666666666666,199.25,4.536479596426307,0.03990787955163666,4.0,1.0,2.0,6.0,797.0,2.0,49.01839963991345,1.0
470,profb,672,9,knn,0.018130405916416497,2.6563325114042082,0.013392857142857142,0.8,0.002775382155252545,0.9182958340544894,51.57081193449167,0.5,74.66666666666667,3.556821842136218,0.01780650332247946,9.0,1.0,4.0,2.0,672.0,5.0,148.1776607286381,1.25
471,471,365,5,random_forest,0.07921883637255465,2.7856998915340103,0.0136986301369863,0.0,0.03016312806332911,3.5843734520013877,24.03939702821377,0.08333333333333333,73.0,6.2209692105242995,0.14910413301109832,5.0,0.0,0.0,12.0,365.0,5.0,17.68291532419602,0.0
472,lupus,87,3,logreg,0.34799961646546124,1.984987307624736,0.034482758620689655,0.0,0.04816147380738716,0.972279462096882,8.47537590270391,0.5,29.0,2.8425486175996935,0.11471815212192471,3.0,0.0,0.0,2.0,87.0,3.0,16.303166682070092,0.0
474,analcatdatamarketing,362,32,logreg,0.01949362997974086,1.6861938268585375,0.08839779005524862,0.0,0.023400237663358532,1.5917951351169357,35.689834307767754,0.2,11.3125,3.2333881627285432,0.04460079924692975,32.0,0.0,0.0,5.0,362.0,32.0,36.806358974040414,0.0
